22,2.4,4.8,15.6,FALSE
27,6.3,5.7,18.8,TRUE
27,6.5,6.9,18.8,TRUE
27,5.8,3.8,18.7,FALSE
21,3.9,3.3,12.1,FALSE
27,12.8,1.5,16.3,TRUE
30,3.1,9.3,12.3,FALSE
25,9.3,1.7,14.4,TRUE
21,3.8,5.4,15.5,FALSE
24,10.8,1.4,10.9,TRUE
32,4.6,4,11.4,FALSE
23,3.3,5.2,13.9,FALSE
23,2.9,4.1,12.9,FALSE
23,3.4,5.3,14,FALSE
23,4.9,1.5,7.7,FALSE
23,2.9,2.9,11.9,FALSE
24,3.4,3.3,18.8,FALSE
33,4.3,3.8,10,FALSE
26,4.1,7.9,11,FALSE
33,7.5,1.2,17.4,TRUE
28,5.5,2.3,19.3,TRUE
25,3.8,2.2,14.1,FALSE
25,3.9,2.1,15.1,FALSE
25,3.4,2.7,10.9,FALSE
23,5.9,0,0,FALSE
32,6.6,4.8,20.6,TRUE
36,11.1,3.3,17.5,TRUE
30,6.8,2.9,20,TRUE
24,3.4,2.3,4.5,FALSE
29,6.1,2.4,4.4,FALSE
26,6.6,3.4,23.8,TRUE
22,6.8,2.3,10.5,FALSE
29,3.4,4.1,16.5,FALSE
31,8.8,1.3,15.3,TRUE
31,9.2,1.4,15.3,TRUE
31,7.6,1,15.3,FALSE
39,4.4,5.1,14.4,FALSE
24,13.6,1.3,14.9,TRUE
22,4.7,4,18.5,TRUE
22,0,1.2,18,TRUE
22,5.5,4.5,18.6,TRUE
21,6.3,2.3,16,FALSE
28,3.1,2.9,18.9,FALSE
32,12,1.7,12.4,TRUE
23,4.2,1.1,10.9,FALSE
22,4.8,1.1,10.3,FALSE
22,5.3,0,14,FALSE
22,4.8,1.1,10.2,FALSE
24,3.9,4.2,13,FALSE
29,4.5,2.5,9.9,FALSE
26,8.7,7.8,11.3,TRUE
31,5.6,2.2,17.5,FALSE
26,9.3,1.4,11.8,FALSE
30,5,1.9,15,FALSE
27,8.6,5.2,22.8,TRUE
26,8,1.7,13.5,FALSE
24,8,0.9,10.6,FALSE
24,3.7,3,19.1,TRUE
27,8.1,11.1,28.8,TRUE
23,5.5,1.4,12.5,FALSE
27,5.8,2.3,13.9,FALSE
23,7.4,2.2,17.8,TRUE
33,4.2,4.5,14.5,FALSE
22,3.6,3.3,17.2,TRUE
25,4.7,1.7,13.5,FALSE
27,13,2.9,11.5,FALSE
24,5.8,2,18.5,TRUE
22,6.4,6.4,2.1,FALSE
22,3.3,4.8,10.4,FALSE
36,10,1.7,8.6,FALSE
28,8.6,3.7,15.2,TRUE
28,8.4,3.6,14.6,FALSE
28,9.5,4,17.5,TRUE
26,5.6,3.6,22.9,TRUE
29,4,2.4,14.3,FALSE
26,9.5,1.8,12.6,TRUE
21,8,1.2,13,FALSE
22,13.6,2.6,16,TRUE
21,5.5,2.3,11.9,FALSE
30,8,1.1,11.7,FALSE
30,8,1.1,11.6,FALSE
30,6.5,3.3,13.1,TRUE
23,5.1,2.3,16.5,FALSE
23,5.1,2.4,15.1,FALSE
23,5.1,2.2,18.7,FALSE
34,8.5,2,18.3,TRUE
30,3.9,4.8,19.3,TRUE
29,10.7,0,9.2,FALSE
25,4.7,2.1,8.5,FALSE
23,3.1,3.1,12,FALSE
26,4.3,8,16.9,TRUE
27,4.9,2.2,13.8,FALSE
22,9.2,3.1,13.8,FALSE
23,9.4,1.8,16.9,TRUE
24,4.6,2.2,16.9,FALSE
30,7.6,5.5,15.6,TRUE
23,36,0,0,FALSE
31,15.4,1.7,16.4,TRUE
33,3.6,7.9,9.6,FALSE
25,10.5,3.5,16.3,TRUE
31,10.8,1.5,13.4,FALSE
23,4,0,0,FALSE
27,8,1.1,17.4,TRUE
27,8,1.3,17.8,TRUE
27,7.9,0.8,16.5,FALSE
33,5.5,4.7,10.3,FALSE
29,8.1,2.4,18,FALSE
29,9.3,0.6,8.7,FALSE
29,7.8,2.4,19.6,TRUE
29,8.6,2.4,15.4,FALSE
29,4.8,4.1,10.6,FALSE
19,5,2.6,11.7,FALSE
24,3.3,6,25.9,TRUE
33,0,5.5,6.5,FALSE
22,8.5,6.4,21.2,TRUE
25,3.9,8.1,15,FALSE
26,2.9,6.8,19,FALSE
32,8.2,8.3,25.2,TRUE
32,10.7,2.2,20.7,TRUE
36,4.5,1.7,10,FALSE
25,2.8,2.8,19.4,TRUE
27,3.9,7.9,11.5,FALSE
27,3.8,7.2,12.5,FALSE
27,4.2,10.4,7.8,FALSE
29,7.9,2.1,8.7,FALSE
29,8.2,3.1,11.6,FALSE
22,12,4,16,TRUE
29,6.5,4.8,16.8,TRUE
35,4.7,2.8,14,FALSE
20,5,2.8,8.9,FALSE
24,4.8,3.9,16.6,TRUE
29,8,1,8.3,FALSE
21,12.7,6.3,21.6,TRUE
36,6,3,27,FALSE
21,9.7,0,8,FALSE
19,5.2,0.8,11.1,FALSE
