31,52,0,577,6.7,11.6,0.1,0.2,6.6,11.4,4.8,5.5,2.7,5.4,8,1.3,0.9,0.7,1.8,2.8,18.2,TRUE
28,77,77,2617,5.4,13.4,1.9,5.6,3.5,7.8,3.3,3.9,0.6,6,6.6,6.3,1.2,0.4,2.7,1.5,16,TRUE
28,3,1,71,5.6,16.2,1,2.5,4.6,13.7,4.6,5.1,1.5,4.6,6.1,6.6,0,0,4.6,2,16.7,FALSE
30,75,2,1163,4.4,8.6,0,0,4.4,8.6,2.4,2.9,3.4,6.9,10.3,1,0.5,1.2,1.5,5.1,11.3,FALSE
27,73,64,1963,5.4,13.2,1.7,4.9,3.7,8.3,2.2,3.1,0.8,3.4,4.2,3.2,1.7,1,2.3,3,14.7,FALSE
23,77,77,2684,8.5,17.7,3,7.4,5.6,10.3,3.8,4.6,0.7,2.5,3.2,3.6,1.1,0.3,2.1,2.3,23.9,TRUE
20,22,1,165,7.2,15.9,2,6.1,5.2,9.8,1.7,2.2,1.1,2.6,3.7,2.4,1.5,0,1.7,2.2,18.1,FALSE
28,56,6,935,8.3,15.6,0.7,1.7,7.6,14,3,4,1.5,5.9,7.4,2,1,1,2.5,3.5,20.3,TRUE
30,74,0,1778,5.3,12.5,2.1,5.7,3.3,6.7,3,3.4,0.3,3.3,3.6,3,0.9,0.2,1.4,1.8,15.8,FALSE
22,38,1,371,4.6,9.5,0.1,1.7,4.5,7.8,0.6,1.6,1.4,4.4,5.7,2.7,0.8,0.5,1.6,2,9.8,FALSE
19,43,0,574,3.6,10.1,1.8,6.3,1.8,3.8,0.3,0.7,1.4,5,6.5,1.4,0.6,1.4,2,4.6,9.2,FALSE
23,23,1,264,5.2,12.5,1.8,6.5,3.4,6,3.5,4.9,3.4,7.2,10.6,1.6,0.7,0.4,1.6,2.5,15.7,FALSE
21,3,0,10,0,10.8,0,3.6,0,7.2,0,0,0,7.2,7.2,0,0,0,3.6,3.6,0,FALSE
